	NUMERO	NOM	TYPE_1	TYPE_2	POINTS_DE_VIE	POINTS_ATTAQUE	POINTS_DEFFENCE	POINTS_ATTAQUE_SPECIALE	POINT_DEFENSE_SPECIALE	POINTS_VITESSE	NOMBRE_GENERATIONS	LEGENDAIRE	First_pokemon	Second_pokemon	NBR_COMBATS	NBR_VICTOIRES	POURCENTAGE_DE_VICTOIRES
0	1	Bulbizarre	Herbe	Poison	45	49	49	65	65	45	1	0	37.0	37.0	133.0	37.0	0.2781954887218045
1	2	Herbizarre	Herbe	Poison	60	62	63	80	80	60	1	0	46.0	46.0	121.0	46.0	0.38016528925619836
2	3	Florizarre	Herbe	Poison	80	82	83	100	100	80	1	0	89.0	89.0	132.0	89.0	0.6742424242424242
3	4	Mega Florizarre	Herbe	Poison	80	100	123	122	120	80	1	0	70.0	70.0	125.0	70.0	0.56
4	5	Salam�che	Feu		39	52	43	60	50	65	1	0	55.0	55.0	112.0	55.0	0.49107142857142855
5	6	Reptincel	Feu		58	64	58	80	65	80	1	0	64.0	64.0	118.0	64.0	0.5423728813559322
6	7	Dracaufeu	Feu	Vol	78	84	78	109	85	100	1	0	115.0	115.0	133.0	115.0	0.8646616541353384
7	8	Mega Dracaufeu X	Feu	Dragon	78	130	111	130	85	100	1	0	119.0	119.0	139.0	119.0	0.8561151079136691
8	9	Mega Dracaufeu Y	Feu	Vol	78	104	78	159	115	100	1	0	114.0	114.0	135.0	114.0	0.8444444444444444
9	10	Carapuce	Eau		44	48	65	50	64	43	1	0	19.0	19.0	117.0	19.0	0.1623931623931624
10	11	Carabaffe	Eau		59	63	80	65	80	58	1	0	59.0	59.0	141.0	59.0	0.41843971631205673
11	12	Tortank	Eau		79	83	100	85	105	78	1	0					
12	13	Mega Tortank	Eau		79	103	120	135	115	78	1	0	83.0	83.0	144.0	83.0	0.5763888888888888
13	14	Chenipan	Insecte		45	30	35	20	20	45	1	0	17.0	17.0	115.0	17.0	0.14782608695652175
